,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
150,AIG,87.97,73.68,14.3,18797.21,4301.02,261,16,6.1,25.96
151,JCI,87.57,134.93,-47.36,18756.67,4229.18,261,21,8.0,41.68
152,VTR,87.17,92.01,-4.84,18716.72,2394.2,261,15,5.7,40.16
153,MNST,86.23,91.44,-5.2,18623.45,2500.35,261,8,3.1,26.64
154,C,86.16,91.0,-4.84,18615.59,4005.1,261,24,9.2,44.78
155,META,85.54,93.34,-7.8,18553.85,13186.35,261,36,13.8,67.37
156,HII,85.35,72.93,12.42,18535.36,6779.84,261,15,5.7,35.75
157,LIN,85.32,83.43,1.89,18532.39,1627.23,261,7,2.7,20.73
158,AXP,84.31,113.31,-29.0,18430.92,5489.98,261,32,12.3,32.42
159,AEP,83.13,77.31,5.82,18313.21,1097.61,261,5,1.9,26.94
160,NTRS,82.05,62.65,19.41,18205.44,4266.42,261,18,6.9,44.52
161,RJF,81.14,86.96,-5.82,18113.64,4898.3,261,20,7.7,29.19
162,CHRW,80.3,97.6,-17.3,18030.13,7258.21,261,20,7.7,35.01
163,FSLR,80.04,204.85,-124.82,18003.77,26831.18,261,53,20.3,58.54
164,NDAQ,79.88,81.87,-1.99,17987.79,2800.98,261,15,5.7,33.21
165,ODFL,78.38,58.1,20.28,17838.13,10529.58,261,32,12.3,38.61
166,SO,77.26,74.5,2.76,17725.66,831.51,261,5,1.9,22.9
167,EBAY,75.95,110.01,-34.06,17594.75,6198.4,261,28,10.7,52.34
168,KO,74.7,72.45,2.25,17470.14,469.77,261,2,0.8,17.26
169,DVA,74.67,62.13,12.53,17466.61,8789.68,261,20,7.7,41.94
170,PKG,74.43,63.5,10.93,17443.39,3326.88,261,11,4.2,29.11
171,KKR,73.06,80.74,-7.68,17306.38,13636.06,261,37,14.2,44.44
172,BG,73.05,65.81,7.25,17305.49,5400.65,261,20,7.7,36.86
173,AMZN,72.69,63.11,9.58,17268.9,7538.84,261,29,11.1,52.09
174,MET,72.56,47.07,25.49,17255.66,3435.18,261,11,4.2,32.78
175,HOOD,72.49,117.69,-45.2,17249.41,28551.25,238,66,27.7,74.13
176,CME,72.36,74.08,-1.72,17236.02,932.37,261,8,3.1,30.65
177,CINF,71.09,56.57,14.52,17109.25,3261.28,261,13,5.0,31.56
178,BRK-B,70.7,70.33,0.37,17069.59,786.08,261,4,1.5,25.6
179,JBHT,70.58,61.24,9.34,17057.93,5784.14,261,20,7.7,38.36
180,ROL,70.39,66.2,4.19,17038.59,3151.6,261,8,3.1,24.72
181,AME,70.32,76.1,-5.78,17031.84,1712.59,261,12,4.6,26.83
182,ROK,70.3,83.12,-12.82,17030.16,5964.57,261,19,7.3,42.58
183,WM,69.49,71.46,-1.97,16948.94,1012.64,261,5,1.9,17.95
184,PHM,69.21,109.21,-40.0,16921.04,9486.6,261,38,14.6,36.57
185,KR,68.6,109.02,-40.42,16859.75,4382.58,261,16,6.1,32.78
186,MLM,67.87,58.35,9.52,16786.57,3749.95,261,17,6.5,27.92
187,FAST,67.52,89.59,-22.07,16751.57,2959.52,261,13,5.0,29.21
188,DAL,66.11,59.85,6.26,16611.2,10610.15,261,42,16.1,44.51
189,SNA,65.98,65.81,0.17,16597.75,2554.8,261,9,3.4,21.76
190,NTAP,64.84,74.92,-10.08,16483.64,6424.48,261,23,8.8,39.65
191,GRMN,63.54,81.37,-17.82,16354.33,5799.52,261,15,5.7,51.63
192,ED,63.11,61.73,1.38,16310.94,872.35,261,9,3.4,21.69
193,EXC,62.96,59.27,3.69,16295.7,1613.6,261,8,3.1,26.12
194,VMC,62.44,50.05,12.4,16244.45,3564.47,261,15,5.7,27.97
